" The subscription will end on %s.", " The subscription will end on %s."
"%s is not a authorize status!","%s is not a authorize status!"
"%s is not a capture status!","%s is not a capture status!"
"%s is not a refund status!","%s is not a refund status!"
"%s is not a special status!","%s is not a special status!"
"%s is not a void status!","%s is not a void status!"
"'%value%' has a false IBAN format", "'%value%' has a false IBAN format"
"'%value%' has failed the IBAN check", "'%value%' has failed the IBAN check"
"--Please select--","--Please select--"
"<p id='ops_mode_comment' style='color:red; display:none;'>Please note that, after changing this value, you might also need to update additional fields like API-User and password, PSPID or SHA-IN/OUT pass phrase.</p>","<p id='ops_mode_comment' style='color:red; display:none;'>Please note that, after changing this value, you might also need to update additional fields like API-User and password, PSPID or SHA-IN/OUT pass phrase.</p>"
"<p id='ops_recurring_cc_active_comment' style='color:red; display:none;'>To use this functionality you have to have the Subscription manager function enabled in the Ingenico ePayments (Ogone) backend.</p>","<p id='ops_recurring_cc_active_comment' style='color:red; display:none;'>To use this functionality you need to have the Subscription manager function enabled in the Ingenico ePayments (Ogone) backend.</p>"
"<span style='color:red;'>When using this feature, make sure to enable all Dynamic Parameters in the Ingenico ePayments (Ogone) Backoffice in section <em>Tech. information &gt; Transaction feedback &gt; Alias gateway and Tokenization</em>.</span>", "<span style='color:red;'>When using this feature, make sure to enable all Dynamic Parameters in the Ingenico ePayments (Ogone) Backoffice in section <em>Tech. information &gt; Transaction feedback &gt; Alias gateway and Tokenization</em>.</span>"
"Ingenico ePayments (Ogone) - Dynamic template","Ingenico ePayments (Ogone) - Dynamic template"
"Ingenico ePayments (Ogone) - iFrame mode", "Ingenico ePayments (Ogone) - iFrame mode"
"Ingenico ePayments (Ogone) - Redirect mode", "Ingenico ePayments (Ogone) - Redirect mode"
"Ingenico ePayments (Ogone) Account","Ingenico ePayments (Ogone) Account"
"Ingenico ePayments (Ogone) Flex payment method", "Ingenico ePayments (Ogone) Flex payment method"
"Ingenico ePayments (Ogone) Payment failed", "Ingenico ePayments (Ogone) Payment failed"
"Ingenico ePayments (Ogone) payment id", "Ingenico ePayments (Ogone) payment id"
"Ingenico ePayments (Ogone) resend payment information","Ingenico ePayments (Ogone) resend payment information"
"Ingenico ePayments (Ogone) server is temporarily not available", "Ingenico ePayments (Ogone) server is temporarily not available"
"Ingenico ePayments (Ogone) server is temporarily not available, please try again later.","Ingenico ePayments (Ogone) server is temporarily not available, please try again later."
"Ingenico ePayments (Ogone) status 0, the action failed.", "Ingenico ePayments (Ogone) status 0, the action failed."
"Ingenico ePayments (Ogone) status successfully updated", "Ingenico ePayments (Ogone) status successfully updated"
"Ingenico ePayments (Ogone) Subscription Manager via Cc", "Ingenico ePayments (Ogone) Subscription Manager via Cc"
"Ingenico ePayments (Ogone) suspend subscription request", "Ingenico ePayments (Ogone) suspend subscription request"
"A generic option, that lets the customer choose the exact method on Ingenico ePayments (Ogone) side.", "A generic option, that lets the customer choose the exact method on Ingenico ePayments (Ogone) side."
"A generic payment method, that lets the customer choose the exact method on Ingenico ePayments (Ogone) side.", "A generic payment method, that lets the customer choose the exact method on Ingenico ePayments (Ogone) side."
"A subscription will be created. This will charge you %s every %s %s.", " A subscription will be created. This will charge you %s every %s %s."
"A technical problem arose during payment process, giving unpredictable result. Ingenico ePayments (Ogone) status: %s.","A technical problem arose during payment process, giving unpredictable result. Ingenico ePayments (Ogone) status: %s."
"A trial subscription will be created. This will charge you %s every %s %s until %s.", "A trial subscription will be created. This will charge you %s every %s %s until %s."
"Account Holder must be filled in.","Account Holder must be filled in."
"Account holder must be provided", "Account holder must be provided"
"Account holder","Account holder"
"Account number must contain numbers only.","Account number must contain numbers only."
"Account number","Account number"
"Action","Action"
"Activates automatic payment cancellation", "Activates automatic payment cancellation"
"Activates automatic sending of payment reminder","Activates automatic sending of payment reminder"
"active","active"
"Add Brand", "Add Brand"
"Add Method", "Add Method"
