"Ingenico ePayments (Ogone) Account", "Ingenico ePayments (Ogone) Account"
"Account Holder must be filled in.", "Rekeninghouder invullen is verplicht."
"Account holder", "Rekeninghouder"
"Account number must contain numbers only.", "Rekeningnummer mag enkel nummers bevatten."
"Account number", "Rekeningnummer"
"Aliasusage existing Alias", "Aliasusage bestaande Alias"
"Aliasusage New", "Aliasusage Nieuw"
"All Allowed Countries", "Alle toegestaan Landen"
"Allowed file types: jpeg, gif, png.", "Toegestaan bestandstypen: jpeg, gif, png"
"An error occured during the Ingenico ePayments (Ogone) request. Your action could not be executed. Message: '%s'.", "Een fout deed zich voor tijdens het Ingenico ePayments (Ogone) verzoek. Uw actie kon niet worden uitgevoerd. Melding: '%s'."
"An unknown exception occured.", "Een ongekende uitzondering deed zich voor."
"An unknown exception was thrown in the payment process. Ingenico ePayments (Ogone) status: %s.", "Een ongekende uitzondering deed zich voor in het betaalproces. Ingenico ePayments (Ogone) status: %s."
"API Password", "API Wachtwoord"
"API User", "API Gebruikersnaam"
"Authorization status changed. Current Ingenico ePayments (Ogone) status is: %s.", "Status autorisatie gewijzigd. Huidige Ingenico ePayments (Ogone) status is: %s."
"Authorization uncertain. Ingenico ePayments (Ogone) status: %s.", "Autorisatie onzeker. Ingenico ePayments (Ogone) status: %s."
"Authorization waiting from Ingenico ePayments (Ogone)", "Wachten op autorisatie van Ingenico ePayments (Ogone)"
"Authorization waiting. Ingenico ePayments (Ogone) status: %s.", "Autorisatie wachtend. Ingenico ePayments (Ogone) status: %s."
"Authorization", "Autorisatie"
"Background Color of Ingenico ePayments (Ogone) Template", "Achtergrondkleur van de Ingenico ePayments (Ogone) template"
"Bank code must contain numbers only.", "Bankcode mag enkel nummers bevatten."
"Bank code", "Bankcode"
"BCMC", "Bancontact/Mister Cash"
"BIC: %s", "BIC: %s"
"Billing Address", "Factuuradres"
"Button Background Color of the Ingenico ePayments (Ogone) Template", "Achtergrondkleur knoppen van de Ingenico ePayments (Ogone) template"
"Button Text Color of the Ingenico ePayments (Ogone) Template", "Tekstkleur knoppen van de Ingenico ePayments (Ogone) template"
"Cancel", "Annuleren"
"Cannot create an invoice without products.", "Een factuur aanmaken is niet mogelijk zonder producten."
"Capture is waiting or uncertain. Ingenico ePayments (Ogone) status: %s.", "Betalingsaanvraag in verwerking of onzeker. Ingenico ePayments (Ogone) status: %s."
"Capture process complete", "Betalingsaanvraag afgerond"
"Capture was refused. Automatic creation failed. Ingenico ePayments (Ogone) status: %s.", "Betalingsaanvraag werd geweigerd. Automatische aanmaak mislukt. Ingenico ePayments (Ogone) status: %s."
"Card Verification Number", "Kaartverificatienummer"
"Could not perform actions for Ingenico ePayments (Ogone) status: %s.", "Kon geen acties uitvoeren voor Ingenico ePayments (Ogone) status: %s."
"Countries", "Landen"
"Credit Card Number", "Creditcardnummer"
"Credit Card Type", "Type creditcard"
"Creditmemo '%s' was created automatically. Ingenico ePayments (Ogone) Status: %s.", "Creditmemo '%s' werd automatisch aangemaakt. Ingenico ePayments (Ogone) Status: %s."
"Creditmemo will be created automatically as soon as Ingenico ePayments (Ogone) sends an acknowledgement. Ingenico ePayments (Ogone) Status: %s.", "Creditmemo zal automatisch worden aangemaakt zodra Ingenico ePayments (Ogone) een bevestiging stuurt. Ingenico ePayments (Ogone) Status: %s."
"Debug", "Debug"
"Delete Image", "Afbeelding verwijderen"
"Direct Sale", "Verkoop"
"Disallowed file type.", "Verworpen bestandstype."
"e.g: black", "e.g.: zwart"
"e.g: Verdana", "e.g.: Verdana"
"e.g: white", "e.g.: wit"
"ECOM_BILLTO_POSTAL_STREET_NUMBER", "huisnummer"
"ECOM_SHIPTO_POSTAL_STREET_LINE1", "verzendadres: straat"
"ECOM_SHIPTO_POSTAL_STREET_NUMBER", "verzendadres: huisnummer"
"Enable 3D secure", "Activeer 3D-Secure"
"Enabled Card Types", "Kaart soorten"
"Expiration Date", "Vervaldatum"
"FAILURE_TOKEN", "Uw betalingsgegevens kunnen niet worden opgeslagen door Ingenico ePayments (Ogone). <a href='javascript:void(0)' onclick='payment.reloadIframe();'>Probeer opnieuw</a> of selecteer een andere betaalmethode."
"FAILURE_TOKEN_FRONTEND", "Uw betalingsgegevens kunnen niet worden opgeslagen door Ingenico ePayments (Ogone). <a href='javascript:void(0)' onclick='payment.handleBrandChange();'>Probeer opnieuw</a> of selecteer een andere betaalmethode."
"Font Family of the Ingenico ePayments (Ogone) Template", "Lettertype van het Ingenico ePayments (Ogone) template"
"Hash is not valid", "Hash is niet geldig"
"Here you can enter the desired text which is used for existing alias, the text will be displayed on Ingenico ePayments (Ogone) side.", "Hier kunt u de gewenste tekst die wordt gebruikt voor bestaande alias invoert, wordt de tekst weergegeven op Ingenico ePayments (Ogone) kant."
"Here you can enter the desired text which will be displayed on Ingenico ePayments (Ogone) side.", "Hier kunt u de gewenste tekst die op Ingenico ePayments (Ogone) kant worden weergegeven in te voeren."
"Horizontally grouped logo with group name on left", "Horizontaal gegroepeerde logo's met groepsnaam links"
"Horizontally grouped logo with no group name", "Horizontaal gegroepeerde logo's zonder groepsnaam"
"IBAN: %s", "IBAN: %s"
"If you choose 'Ingenico ePayments (Ogone)', you will need to fill in all the following fields.", "Wanneer u 'Ingenico ePayments (Ogone) ' selecteert,  dient u de volgende velden verplicht in te vullen:"
"Incorrect credit card expiration date.", "Onjuiste vervaldatum creditcard."
"Invoice '%s' was created automatically. Ingenico ePayments (Ogone) Status: %s.", "Factuur '%s' werd automatisch aangemaakt. Ingenico ePayments (Ogone) Status: %s."
"Invoice will be created automatically as soon as Ingenico ePayments (Ogone) sends an acknowledgement. Ingenico ePayments (Ogone) status: %s.", "Factuur zal automatisch worden aangemaakt zodra dat Ingenico ePayments (Ogone) een bevestiging stuurt. Ingenico ePayments (Ogone) status: %s."
"Layout of Payment Methods", "Layout van de betaalmethodes"
"LOAD_TOKEN", "Wacht even als we het Ingenico ePayments (Ogone) betalingsformulier invullen."
"Logo of the Ingenico ePayments (Ogone) Template", "Logo van het Ingenico ePayments (Ogone) template"
"Name on Card", "Naam op kaart"
"Netresearch_OPS::Left", "Links"
"Netresearch_OPS::Non Visible", "Niet Zichtbaar"
"Netresearch_OPS::Right", "Right"
"Order can not be canceled for system reason.", "Bestelling kan niet worden geannuleerd omwille van systeemredenen."
"Order can not be saved for system reason.", "Bestelling kan niet worden bewaard omwille van systeemredenen."
"Order can not be saved.", "Bestelling kan niet worden bewaard."
"Order canceled on Ingenico ePayments (Ogone) side. Status: %s, Payment ID: %s.", "Bestelling geannuleerd bij Ingenico ePayments (Ogone). Status: %s, BetaalID: %s."
"Order is not valid", "Bestelling is niet geldig"
"Order Number", "Order Number"
"OWNERADDRESS", "straat"
"Partial capture process complete", "Gedeeltelijke betalingsaanvraag afgerond"
"Pay now", "Betalen"
"Payment Action", "Transactie actie"
"Payment failed. Please review your input or select another payment method.", "Betaling mislukt. Gelieve uw ingevoerde gegevens na te kijken of selecteer een andere betaalmethode."
"Payment failed. Please select another payment method.", "Betaling mislukt. Gelieve een andere betaalmethode te selecteren."
"Payment from Applicable Countries", "Betaling van toepasbare landen"
"Payment from Specific Countries", "Betaling uit bepaalde landen"
"Payment Information", "Payment Information"
"Payment Logo Visibility", "Payment Logo zichtbaarheid"
"Payment Logo", "Payment Logo"
"Payment Reference: %s", "Payment Reference: %s"
"Payment Template", "Template betaalpagina"
"Please insert the additional data:", "Please insert the additional data:"
"Please transfer to:", "Please transfer to:"
"Please use void to cancel the operation.", "Gelieve annuleringsknop te gebruiken om de operatie te annuleren."
"Please wait a moment. This page will transfer your data to Ingenico ePayments (Ogone) payment gateway in a few seconds.", "Gelieve even te wachten. Deze pagina zal uw gegevens sturen naar Ingenico ePayments (Ogone) payment gateway binnen enkele seconden."
"Process outgoing transaction", "Verwerking uitgaande transactie"
"Processed by Ingenico ePayments (Ogone)", "Verwerkt door Ingenico ePayments (Ogone)"
"Processed by Ingenico ePayments (Ogone). Payment ID: %s. Ingenico ePayments (Ogone) status: %s.", "Verwerkt door Ingenico ePayments (Ogone). BetaalID: %s. Ingenico ePayments (Ogone) status: %s."
"PSPID is a case sensitive field", "Het veld PSPID is hoofdlettergevoelig."
"Refund is waiting or uncertain. Ingenico ePayments (Ogone) status: %s.", "Terugbetaling is in verwerking of onzeker. Ingenico ePayments (Ogone) status: %s."
"Refund was refused. Automatic creation failed. Ingenico ePayments (Ogone) status: %s.", "Terugbetaling werd geweigerd. Automatische aanmaak mislukt. Ingenico ePayments (Ogone) status: %s."
"SCORING_DESCRIPTION_AAVCHECK", "Resultaat van de automatische adresverificatie. Deze verificatie is op dit moment alleen verkrijgbaar voor American Express. Mogelijke waardes:<br />KO: Het adres is verzonden maar de acquirer heeft negatief geantwoord op de adres controle, d.w.z. het adres is onjuist.<br />OK:<br />1. Het adres is verzonden en de acquirer heeft positief geantwoord op de adres-controle, d.w.z. het adres is correct OF<br />2. De acquirer heeft een autorisatiecode verzonden, maar heeft geen bepaald resultaat voor de adres-controle.<br /><br />NO: Alle andere gevallen. Bijvoorbeeld, geen adres verzonden"
"SCORING_DESCRIPTION_CARDNO", "Naam kaarthouder"
"SCORING_DESCRIPTION_CCCTY", "Land van herkomst van de credit card.<br />Formaat: 2 tekens alfabetische ISO-code."
"SCORING_DESCRIPTION_CN", "Naam op kaart"
"SCORING_DESCRIPTION_CVCCHECK", "Resultaat van de kaart verificatie code check. Mogelijke waarden:<br />KO: De CVC is verzonden, maar de acquirer heeft negatief geantwoord op de CVC-controle, d.w.z. de CVC is onjuist.<br />OK:<br />1. De CVC is verzonden en de acquirer heeft positief geantwoord op de CVC-controle, d.w.z. de CVC is juist, OF<br />2. De acquirer heeft een autorisatiecode verzonden, maar heeft geen duidelijk resultaat voor de CVC-controle.<br /><br />NO: Alle andere gevallen. Bijvoorbeeld, geen CVC verzonden"
"SCORING_DESCRIPTION_ED", "Vervaldatum"
"SCORING_DESCRIPTION_IPCTY", "Land van herkomst van het IP-adres<br />Formaat: 2 tekens alfabetische ISO-code. Als deze parameter onbeschikbaar is, dan wordt '99' als antwoord weergegeven."
"SCORING_DESCRIPTION_NBREMAILUSAGE", "Aantal keer waarin het e-mailadres gebruikt is binnen een bepaalde periode."
"SCORING_DESCRIPTION_NBRIPUSAGE", "Aantal keer waarin het IP adres gebruikt is in een bepaalde periode."
"SCORING_DESCRIPTION_NBRIPUSAGE_ALLTX", "Aantal keer waarin het IP adres gebruikt is in een succesvolle en/of geweigerde transactie in een bepaalde periode."
"SCORING_DESCRIPTION_NBRUSAGE", "Aantal keer waarin een credit card gebruikt is in een bepaalde periode."
"SCORING_DESCRIPTION_VC", "Virtuele kaart. Mogelijke waardes:<br />ECB: voor E Carte Bleue<br />ICN: voor Internet City Number<br />NO: voor alle andere gevallen. Bijvoorbeeld, de kaart is niet virtueel."
"SHA-IN Pass phrase", "SHA-IN wachtwoord"
"SHA-OUT Pass phrase", "SHA-OUT wachtwoord"
"Shipping Address", "Shipping Address"
"Specific Countries", "Specifieke Landen"
"Start Ingenico ePayments (Ogone) %s capture request", "Start Ingenico ePayments (Ogone) %s betalingsaanvraag"
"Start Ingenico ePayments (Ogone) processing", "Start Ingenico ePayments (Ogone) verwerking"
"Start Ingenico ePayments (Ogone) refund request", "Start Ingenico ePayments (Ogone) aanvraag terugbetaling"
"STATUS_0", "Ongeldig of onvolledig"
"STATUS_1", "Geannuleerd door de klant"
"STATUS_2", "Autorisatie geweigerd"
"STATUS_4", "Bestelling bewaard"
"STATUS_5", "Geautoriseerd"
"STATUS_6", "Geautoriseerd en geannuleerd"
"STATUS_7", "Betaling geannuleerd"
"STATUS_8", "Terugbetaald"
"STATUS_9", "Betaling aangevraagd"
"STATUS_40", "Opgeslagen, wachten op ext. result."
"STATUS_41", "Wachten op klantbetaling"
"STATUS_46", "Waiting (for identification)"
"STATUS_50", "Geautoriseerd en wachtend op ext. result."
"STATUS_51", "Autorisatie pending"
"STATUS_52", "Autorisatie onzeker"
"STATUS_55", "Stand-by"
"STATUS_56", "OK met geplande betalingen"
"STATUS_57", "Fout in geplande betalingen"
"STATUS_59", "Manueel te bekomen autorisatie"
"STATUS_61", "Annul. autor. pending"
"STATUS_62", "Annul. autor. onzeker"
"STATUS_63", "Annul. autor. geweigerd"
"STATUS_64", "Geautoriseerd en geannuleerd"
"STATUS_71", "Annul. betaling pending"
"STATUS_72", "Annul. betaling onzeker"
"STATUS_73", "Annul. betaling geweigerd"
"STATUS_74", "Betaling geannuleerd"
"STATUS_75", "Annul. verwerkt door merchant"
"STATUS_81", "Terugbetaling pending"
"STATUS_82", "Terugbetaling onzeker"
"STATUS_83", "Terugbetaling geweigerd"
"STATUS_84", "Betaling geweigerd door de bank"
"STATUS_85", "Terugbet. verwerkt door merchant"
"STATUS_91", "Betaling pending"
"STATUS_92", "Betaling onzeker"
"STATUS_93", "Betaling geweigerd"
"STATUS_94", "Terugbetaling geweigerd door de bank"
"STATUS_95", "Betaling verwerkt door merchant"
"STATUS_99", "Wordt verwerkt"
"Submit", "Verzenden"
"SUCCESS_TOKEN", "Uw betalingsgegevens zijn klaar om verwerkt te worden door Ingenico ePayments (Ogone). U kunt het <a href='javascript:void(0)' onclick='payment.reloadIframe();'>resetten</a> of nog een andere betaalmethode selecteren."
"SUCCESS_TOKEN_FRONTEND", "Uw betalingsgegevens zijn klaar om verwerkt te worden door Ingenico ePayments (Ogone). U kunt het <a href='javascript:void(0)' onclick='payment.handleBrandChange();'>resetten</a> of nog een andere betaalmethode selecteren."
"Table Background Color of the Ingenico ePayments (Ogone) Template", "Achtergrondkleur tabel van de Ingenico ePayments (Ogone) template"
"Table Text Color of the Ingenico ePayments (Ogone) Template", "Tekstkleur tabel van de Ingenico ePayments (Ogone) template"
"Test url example: https://secure.ogone.com/ncol/test/maintenancedirect.asp<br />Production url example: https://secure.ogone.com/ncol/prod/maintenancedirect.asp", "voorbeeld test: https://secure.ogone.com/ncol/test/maintenancedirect.asp<br />voorbeeld production: https://secure.ogone.com/ncol/prod/maintenancedirect.asp"
"Test url example: https://secure.ogone.com/ncol/test/orderdirect.asp<br />Production url example: https://secure.ogone.com/ncol/prod/orderdirect.asp", "voorbeeld test: https://secure.ogone.com/ncol/test/orderdirect.asp<br />voorbeeld production: https://secure.ogone.com/ncol/prod/orderdirect.asp"
"Test url example: https://secure.ogone.com/ncol/test/orderstandard_utf8.asp<br />Production url example: https://secure.ogone.com/ncol/prod/orderstandard_utf8.asp", "voorbeeld test: https://secure.ogone.com/ncol/test/orderstandard_utf8.asp<br />voorbeeld production: https://secure.ogone.com/ncol/prod/orderstandard_utf8.asp"
"Text Color of the Ingenico ePayments (Ogone) Template", "Kleur tekst van de Ingenico ePayments (Ogone) template"
"The capture has already been invoiced.", "De betalingsaanvraag werd al gefactureerd."
"The CreditMemo was not created. Ingenico ePayments (Ogone) status: %s.", "De creditmemo werd niet aangemaakt. Ingenico ePayments (Ogone) status: %s."
"The Creditmemo will be created automatically as soon as Ingenico ePayments (Ogone) sends an acknowledgement.", "De creditmemo zal automatisch worden aangemaakt zodra dat Ingenico ePayments (Ogone) een bevestiging stuurt."
"The Invoice was not created. Ingenico ePayments (Ogone) status: %s.", "De factuur werd niet aangemaakt. Ingenico ePayments (Ogone) status: %s."
